,Ko.KO,SumAbund,KOgroup,KO,Col_2,Width,Gene
1,ko:K00011,4,Rare,K00011,#D53E4F,W15,AKR1B
2,ko:K00020,22,Rare,K00020,#D53E4F,W15,HIBADH
3,ko:K00029,20,Rare,K00029,#D53E4F,W15,maeB
4,ko:K00108,13,Rare,K00108,#D53E4F,W15,betA
5,ko:K00166,10,Rare,K00166,#D53E4F,W15,BCKDHA
6,ko:K00167,6,Rare,K00167,#D53E4F,W15,BCKDHB
7,ko:K00275,25,Rare,K00275,#D53E4F,W15,pdxH
8,ko:K00294,14,Rare,K00294,#D53E4F,W15,E1.2.1.88
9,ko:K00318,8,Rare,K00318,#D53E4F,W15,PRODH
10,ko:K00453,2,Rare,K00453,#D53E4F,W15,TDO2
11,ko:K00457,1,Rare,K00457,#D53E4F,W15,HPD
12,ko:K00472,1,Rare,K00472,#D53E4F,W15,P4HA
13,ko:K00500,1,Rare,K00500,#D53E4F,W15,phhA
14,ko:K00613,4,Rare,K00613,#D53E4F,W15,GATM
15,ko:K00639,24,Rare,K00639,#D53E4F,W15,kbl
16,ko:K00643,1,Rare,K00643,#D53E4F,W15,ALAS
17,ko:K00819,8,Rare,K00819,#D53E4F,W15,rocD
18,ko:K00830,2,Rare,K00830,#D53E4F,W15,AGXT
19,ko:K00846,1,Rare,K00846,#D53E4F,W15,KHK
20,ko:K00933,16,Rare,K00933,#D53E4F,W15,E2.7.3.2
21,ko:K00999,16,Rare,K00999,#D53E4F,W15,CDIPT
22,ko:K01027,9,Rare,K01027,#D53E4F,W15,OXCT
23,ko:K01425,19,Rare,K01425,#D53E4F,W15,glsA
24,ko:K01469,15,Rare,K01469,#D53E4F,W15,OPLAH
25,ko:K01476,9,Rare,K01476,#D53E4F,W15,arg
26,ko:K01556,2,Rare,K01556,#D53E4F,W15,KYNU
27,ko:K01580,3,Rare,K01580,#D53E4F,W15,GAD
28,ko:K01581,22,Rare,K01581,#D53E4F,W15,ODC1
29,ko:K01583,6,Rare,K01583,#D53E4F,W15,E4.1.1.19
30,ko:K01590,1,Rare,K01590,#D53E4F,W15,hdc
31,ko:K01697,7,Rare,K01697,#D53E4F,W15,CBS
32,ko:K01907,2,Rare,K01907,#D53E4F,W15,AACS
33,ko:K01953,23,Rare,K01953,#D53E4F,W15,asnB
34,ko:K01958,25,Rare,K01958,#D53E4F,W15,PC
35,ko:K09680,13,Rare,K09680,#D53E4F,W15,PANK1_2_3
36,ko:K11529,8,Rare,K11529,#D53E4F,W15,gck
37,ko:K13051,6,Rare,K13051,#D53E4F,W15,ASRGL1
38,ko:K13990,9,Rare,K13990,#D53E4F,W15,FTCD
39,ko:K18310,12,Rare,K18310,#D53E4F,W15,RIMKLB
40,ko:K00008,92,Intermediate,K00008,#88419D,W15,SORD
41,ko:K00027,78,Intermediate,K00027,#88419D,W15,maeA
42,ko:K00111,63,Intermediate,K00111,#88419D,W15,glpA
43,ko:K00128,43,Intermediate,K00128,#88419D,W15,ALDH
44,ko:K00161,90,Intermediate,K00161,#88419D,W15,PDHA
45,ko:K00162,91,Intermediate,K00162,#88419D,W15,PDHB
46,ko:K00261,51,Intermediate,K00261,#88419D,W15,GLUD1_2
47,ko:K00281,39,Intermediate,K00281,#88419D,W15,GLDC
48,ko:K00383,79,Intermediate,K00383,#88419D,W15,GSR
49,ko:K00432,62,Intermediate,K00432,#88419D,W15,gpx
50,ko:K00605,47,Intermediate,K00605,#88419D,W15,gcvT
51,ko:K00611,75,Intermediate,K00611,#88419D,W15,OTC
52,ko:K00757,66,Intermediate,K00757,#88419D,W15,udp
53,ko:K00758,92,Intermediate,K00758,#88419D,W15,deoA
54,ko:K00814,77,Intermediate,K00814,#88419D,W15,GPT
55,ko:K00864,87,Intermediate,K00864,#88419D,W15,glpK
56,ko:K00868,94,Intermediate,K00868,#88419D,W15,pdxK
57,ko:K00949,80,Intermediate,K00949,#88419D,W15,thiN
58,ko:K01647,41,Intermediate,K01647,#88419D,W15,CS
59,ko:K01679,53,Intermediate,K01679,#88419D,W15,FH
60,ko:K01681,44,Intermediate,K01681,#88419D,W15,ACO
61,ko:K01745,42,Intermediate,K01745,#88419D,W15,hutH
62,ko:K01755,68,Intermediate,K01755,#88419D,W15,argH
63,ko:K01758,36,Intermediate,K01758,#88419D,W15,CTH
64,ko:K03783,87,Intermediate,K03783,#88419D,W15,punA
65,ko:K00016,105,Frequent,K00016,#3288BD,W15,LDH
66,ko:K00286,111,Frequent,K00286,#3288BD,W15,proC
67,ko:K00287,126,Frequent,K00287,#3288BD,W15,DHFR
68,ko:K00382,121,Frequent,K00382,#3288BD,W15,DLD
69,ko:K00600,123,Frequent,K00600,#3288BD,W15,glyA
70,ko:K00760,125,Frequent,K00760,#3288BD,W15,hprT
71,ko:K00764,123,Frequent,K00764,#3288BD,W15,purF
72,ko:K00772,100,Frequent,K00772,#3288BD,W15,mtaP
73,ko:K00789,126,Frequent,K00789,#3288BD,W15,metK
74,ko:K00820,125,Frequent,K00820,#3288BD,W15,glmS
75,ko:K00826,126,Frequent,K00826,#3288BD,W15,ilvE
76,ko:K00857,104,Frequent,K00857,#3288BD,W15,tdk
77,ko:K00876,105,Frequent,K00876,#3288BD,W15,udk
78,ko:K01885,126,Frequent,K01885,#3288BD,W15,gltX
79,ko:K01915,126,Frequent,K01915,#3288BD,W15,glnA
80,ko:K01937,116,Frequent,K01937,#3288BD,W15,pyrG
81,ko:K01951,126,Frequent,K01951,#3288BD,W15,guaA
82,ko:K04487,118,Frequent,K04487,#3288BD,W15,iscS
